=========================================================================
ผลการตรวจสอบข้อมูลรหัสใบสั่งซื้อ (WO/PO) จาก check.txt เทียบกับฐานข้อมูลระบบ
วันที่ตรวจสอบ: 10/07/2026 20:48:43
=========================================================================
จำนวนรายการทั้งหมดใน check.txt: 245 รายการ
พบในฐานข้อมูล (มีข้อมูลตรงกัน): 152 รายการ
ไม่พบในฐานข้อมูล (ไม่มีข้อมูลในระบบ): 93 รายการ
=========================================================================

--- 1. รายการที่ไม่พบในฐานข้อมูล (Missing in Data) ---
001. ใบสั่งซื้อ: WO24100150   | รหัสกลุ่ม: LAA00    | รายการ: ชุดกวนเม็ด ต้นแบบ KC
067. ใบสั่งซื้อ: WO26050091   | รหัสกลุ่ม: LCD00    | รายการ: เฟืองขับด้าย 70 ฟัน  T3,6,7,8  ต้องการ 1/6/2026
068. ใบสั่งซื้อ: WO26050093   | รหัสกลุ่ม: LCD00    | รายการ: เฟืองขับด้าย 73 ฟัน T 9-13-14  ต้องการ 1/6/2026
069. ใบสั่งซื้อ: WO26050095   | รหัสกลุ่ม: LCD00    | รายการ: เฟืองขับด้าย 60 ฟัน  T 11-15 ต้องการ 1/6/2026
070. ใบสั่งซื้อ: WO26040279   | รหัสกลุ่ม: LCD00    | รายการ: ลดน้ำหนัก พลูเล่ย์ 2for1 ต้องการ 2/5/69
071. ใบสั่งซื้อ: WO26050253   | รหัสกลุ่ม: LCD00    | รายการ: ตุ๊กตาลูกปืนเพลาล่างท้ายเครื่อง T21
072. ใบสั่งซื้อ: WO26060082   | รหัสกลุ่ม: LCD00    | รายการ: ซ่อมเพลาขับด้าย T29
073. ใบสั่งซื้อ: WO26050273   | รหัสกลุ่ม: LCB00    | รายการ: ปีกบังคับหลอดเครื่องกรอหลอด K09  ต้องการ 1/7/69
074. ใบสั่งซื้อ: WO26060207   | รหัสกลุ่ม: LCD00    | รายการ: คว้านรูไสร่องลิ่มดุมมอเตอร์เครื่อง 2 for 1  ต้องการ 16/6/69
075. ใบสั่งซื้อ: WO26040179   | รหัสกลุ่ม: LCA00    | รายการ: เครื่องบันทึกน้ำหนักสำหรับเครื่องตีด้ายเกลียวนอก ต้องการ 30/6/69
076. ใบสั่งซื้อ: WO26030252   | รหัสกลุ่ม: LCA00    | รายการ: ชุดควบคุมการตั้งจอดตามความยาวเครื่องตีด้าย KC
077. ใบสั่งซื้อ: WO26030253   | รหัสกลุ่ม: LCA00    | รายการ: ชุดควบคุมการตั้งจอดตามความยาวเครื่องตีด้าย KC T29
078. ใบสั่งซื้อ: WO26060159   | รหัสกลุ่ม: LCD00    | รายการ: เพลาพลูเล่ย์ล่างสายพานหัวเครื่อง  ต้องการ 1/8/69
079. ใบสั่งซื้อ: WO26060160   | รหัสกลุ่ม: LCD00    | รายการ: เพลาพลูเล่ย์ล่างสายพานหัวเครื่อง 2for 1 (ตัวสั้น)
080. ใบสั่งซื้อ: WO26060163   | รหัสกลุ่ม: LCD00    | รายการ: ตุ๊กตาลูกปืน T1-10   ต้องการ  1/8/69
081. ใบสั่งซื้อ: WO26060164   | รหัสกลุ่ม: LCD00    | รายการ: ตุ๊กตาโยกเฟืองBซ้าย T24-25  ต้องการ 1/8/69
082. ใบสั่งซื้อ: WO26060166   | รหัสกลุ่ม: LCD00    | รายการ: ตุ๊กตาโยกเฟือง B ขวาT24-25   ต้องการ 1/8/69
083. ใบสั่งซื้อ: WO26060167   | รหัสกลุ่ม: LCD00    | รายการ: เบ้าตุ๊กตาเฟือง T5-8  ต้องการ 1/8/69
084. ใบสั่งซื้อ: WO26060181   | รหัสกลุ่ม: LCD00    | รายการ: เพลาพลูเล่ย์ล่างกลางเครื่อง T43-45   ต้องการ 20/7/69
085. ใบสั่งซื้อ: WO26050275   | รหัสกลุ่ม: LCD00    | รายการ: บู๊ชสวมเพลาประคองฐานขายก ตัวที่2   ต้องการ 1/7/69
086. ใบสั่งซื้อ: WO26060140   | รหัสกลุ่ม: LCD00    | รายการ: แกนเพลาหัวเครื่อง T43   ต้องการ 20/7/69
087. ใบสั่งซื้อ: WO26060154   | รหัสกลุ่ม: LCD00    | รายการ: ตุ๊กตาเพลาขับด้ายหัวเครื่องขวา T43 (เหล็กเหนียว)  ต้องการ 1/8/69
088. ใบสั่งซื้อ: WO26060156   | รหัสกลุ่ม: LCD00    | รายการ: ตุ๊กตาเพลาขับด้ายหัวเครื่องซ้าย T43 (เหล็กเหนียว)  ต้องการ 1/8/69
089. ใบสั่งซื้อ: WO26060112   | รหัสกลุ่ม: LCD00    | รายการ: ฐานยึดลูกกลิ้งทับใย 2for 1  ต้องการ 1/7/69
090. ใบสั่งซื้อ: WO25070186   | รหัสกลุ่ม: LCD00    | รายการ: เปลี่ยนหัวเครื่องจากเฟืองส่งกำลัง เป็น servo moter ต้องการ 1/9/2025
091. ใบสั่งซื้อ: WO25120209   | รหัสกลุ่ม: LCD00    | รายการ: แกนหลอดด้ายบน T07  ต้องการ 1/3/69
092. ใบสั่งซื้อ: WO25120210   | รหัสกลุ่ม: LCD00    | รายการ: แกนเสียบหลอด 38 cm T48     ต้องการ  1/2/69
093. ใบสั่งซื้อ: WO26010017   | รหัสกลุ่ม: LCA00    | รายการ: ชุดเพลาขับด้าย T64 (8 นิ้ว)  ต้องการ 10/5/69
094. ใบสั่งซื้อ: WO26010272   | รหัสกลุ่ม: LCA00    | รายการ: ชุดเพลาขับด้าย T61 (5.5 นิ้ว)   ต้องการ  1/5/69
095. ใบสั่งซื้อ: WO26010274   | รหัสกลุ่ม: LCA00    | รายการ: ชุดเพลาขับด้าย T50 (10 นิ้ว)  ต้องการ 1/5/69
096. ใบสั่งซื้อ: WO26010292   | รหัสกลุ่ม: LCA00    | รายการ: ตุ๊กตาเพลาขับด้าย 5" (เหล็กเหนียว)  ต้องการ 1/3/69
097. ใบสั่งซื้อ: WO26010358   | รหัสกลุ่ม: LCA00    | รายการ: ตุ๊กตาเพลาขับด้าย 5" (เหล็กเหนียว)  ต้องการ 1/3/69
098. ใบสั่งซื้อ: WO26010307   | รหัสกลุ่ม: LCA00    | รายการ: สลักล้อดึงสายพาน (กลุ่มวงแหวน)  ต้องการ 1/6/69
099. ใบสั่งซื้อ: WO26010313   | รหัสกลุ่ม: LCA00    | รายการ: ล้อดึงสายพาน (กลุ่มวงแหวน)  ต้องการ 1/3/69
100. ใบสั่งซื้อ: WO26020023   | รหัสกลุ่ม: LCD00    | รายการ: ตัวครอบวงแหวน 5.5 นิ้ว (T35,T36)   ต้องการ 1/3/69
101. ใบสั่งซื้อ: WO26020028   | รหัสกลุ่ม: LCD00    | รายการ: สลักล้อดึงสายพาน (กลุ่มวงแหวน)  ต้องการ 1/3/69
102. ใบสั่งซื้อ: WO26020030   | รหัสกลุ่ม: LCD00    | รายการ: เฟืองขับด้าย 120 ฟัน DP10 ตัวล่าง  ต้องการ 1/3/69
103. ใบสั่งซื้อ: WO26020004   | รหัสกลุ่ม: LCD00    | รายการ: แผงด้ายล่าง T63 8นิ้ว แบบเกลียวนอก  ต้องการ 1/4/69
104. ใบสั่งซื้อ: WO26020144   | รหัสกลุ่ม: LCD00    | รายการ: เฟืองขับด้าย 48 ฟัน M2.5 (T37-38) รุ26มิล  ต้องการ 26/2/69
105. ใบสั่งซื้อ: WO26020053   | รหัสกลุ่ม: LCD00    | รายการ: ฝาปิดน้ำมันตัวครอบวงแหวน 5 นิ้ว  ต้องการ 1/4/69
106. ใบสั่งซื้อ: WO26020038   | รหัสกลุ่ม: LCD00    | รายการ: แกนเฟืองA(T38)   ต้องการ 1/4/69
107. ใบสั่งซื้อ: WO26020041   | รหัสกลุ่ม: LCD00    | รายการ: แกนเฟือง 99 ฟัน T1-10  ต้องการ  1/4/69
108. ใบสั่งซื้อ: WO26040008   | รหัสกลุ่ม: LCD00    | รายการ: ตัวตั้งศูนย์วงแหวน เครื่อง 4 นิ้ว  ต้องการ 4/4/69
109. ใบสั่งซื้อ: WO26040010   | รหัสกลุ่ม: LCD00    | รายการ: ตัวตั้งศูนย์วงแหวน เครื่อง 5 นิ้ว  ต้องการ 4/4/69
110. ใบสั่งซื้อ: WO26040081   | รหัสกลุ่ม: LCD00    | รายการ: ขอเเบบตุ๊กตายึดล้อตึงสายพาน
111. ใบสั่งซื้อ: WO26060153   | รหัสกลุ่ม: LCD00    | รายการ: ตุ๊กตาเพลาขับด้าย T9 (เหล็กเหนียว)   ต้องการ 30/7/69
112. ใบสั่งซื้อ: WO26060220   | รหัสกลุ่ม: LCD00    | รายการ: เหล็กประกบเพลาขับด้าย  ต้องการ 20/7/69
113. ใบสั่งซื้อ: WO26060152   | รหัสกลุ่ม: LCD00    | รายการ: ตุ๊กตาลูกปืนเพลาขับด้าย T21 (เหล็กเหนียว)  ต้องการ 20/7/69
114. ใบสั่งซื้อ: WO26060134   | รหัสกลุ่ม: LCD00    | รายการ: เพลาหัวเครื่องตีด้าย T34 (4นิ้ว)  ต้องการ 20/7/69
115. ใบสั่งซื้อ: WO26060135   | รหัสกลุ่ม: LCD00    | รายการ: เพลาหัวเครื่องตีด้าย T65 (4นิ้ว)  ต้องการ 20/7/69
116. ใบสั่งซื้อ: WO26060136   | รหัสกลุ่ม: LCD00    | รายการ: เพลาหัวเครื่องตีด้ายตัวใน T24 (4.5 นิ้ว)  ต้องการ 20/7/69
117. ใบสั่งซื้อ: WO26060138   | รหัสกลุ่ม: LCD00    | รายการ: เพลาหัวเครื่องตีด้าย ขวา T35 ,T36 (5.5มนิ้ว)  ต้องการ 20/7/69
118. ใบสั่งซื้อ: WO26060139   | รหัสกลุ่ม: LCD00    | รายการ: เพลาหัวเครื่องตีด้าย T57 (5.5 นิ้ว)  ต้องการ 20/7/69
119. ใบสั่งซื้อ: WO26060148   | รหัสกลุ่ม: LCD00    | รายการ: เพลาหัวเครื่องตีด้าย T29(8นิ้ว)   ต้องการ 20/7/69
120. ใบสั่งซื้อ: WO26060150   | รหัสกลุ่ม: LCD00    | รายการ: เพลาหัวเครื่องตีด้าย T50 (10 นิ้ว)   ต้องการ 20/7/69
121. ใบสั่งซื้อ: WO26060176   | รหัสกลุ่ม: LCD00    | รายการ: ตุ๊กตาโยกเฟืองหัวเครื่อง (ขวา) T1-10   ต้องการ 20/7/69
122. ใบสั่งซื้อ: WO26060213   | รหัสกลุ่ม: LCD00    | รายการ: เพลาล่างกลางเครื่อง 4 นิ้ว ยาว 840 มิล   ต้องการ 20/7/69
123. ใบสั่งซื้อ: WO26060214   | รหัสกลุ่ม: LCD00    | รายการ: เพลาล่างกลางเครื่อง 5 นิ้ว เพลา40 ยาว 1085 มิล  ต้องการ 20/7/69
124. ใบสั่งซื้อ: WO26060129   | รหัสกลุ่ม: LCD00    | รายการ: เพลาหัวเครื่อง T59-60  ต้องการ 20/7/69
125. ใบสั่งซื้อ: WO26060133   | รหัสกลุ่ม: LCD00    | รายการ: เพลาหัวเครื่องตีด้าย T4"   ต้องการ 20/7/69
126. ใบสั่งซื้อ: WO26060137   | รหัสกลุ่ม: LCD00    | รายการ: เพลาหัวเครื่องตีด้าย T6    ต้องการ 20/7/69
127. ใบสั่งซื้อ: WO26060141   | รหัสกลุ่ม: LCD00    | รายการ: เพลาในหัวเครื่อง T21     ต้องการ 20/7/696
128. ใบสั่งซื้อ: WO26060142   | รหัสกลุ่ม: LCD00    | รายการ: เพลาหัวเครื่องตัวนอก T21  ต้องการ 20/7/69
129. ใบสั่งซื้อ: WO26060143   | รหัสกลุ่ม: LCD00    | รายการ: เพลาหัวเครื่องตีด้ายตัวนอก T23 (6.5 )  ต้องการ 20/7/69
130. ใบสั่งซื้อ: WO26060147   | รหัสกลุ่ม: LCD00    | รายการ: เพลาหัวเครื่องตีด้ายตัวใน T23 (6.5 นิ้ว)   ต้องการ 20/7/69
131. ใบสั่งซื้อ: WO26060149   | รหัสกลุ่ม: LCD00    | รายการ: เพลาหัวเครื่องตีด้าย T46   ต้องการ 20/7/69
132. ใบสั่งซื้อ: WO26060219   | รหัสกลุ่ม: LCD00    | รายการ: ตุ๊กตาโยกเฟือง B T11-12    ต้องการ 20/7/69
133. ใบสั่งซื้อ: WO26060221   | รหัสกลุ่ม: LCD00    | รายการ: เฟืองตีด้าย 94 ฟัน    ต้องการ  20/7/69
134. ใบสั่งซื้อ: WO26060226   | รหัสกลุ่ม: LCD00    | รายการ: เฟืองขีบด้าย 73 ฟัน T9-10   ต้องการ 20/7/69
135. ใบสั่งซื้อ: WO26060227   | รหัสกลุ่ม: LCD00    | รายการ: เฟืองขับด้าย 60 ฟัน T11-12   ต้องการ 20/7/69
136. ใบสั่งซื้อ: WO26060260   | รหัสกลุ่ม: LCD00    | รายการ: เพลาล่างกลางเครื่อง T57-58  ต้องการ 29/6/69
137. ใบสั่งซื้อ: WO26060232   | รหัสกลุ่ม: LCD00    | รายการ: เฟืองขับด้ายหัวเครื่อง T57 -58 ตัวนอก  ต้องการ 20/7/69
138. ใบสั่งซื้อ: WO26060177   | รหัสกลุ่ม: LCD00    | รายการ: ตุ๊กตาเพลาขับด้าย T23 (เหล็กเหนียว)  ต้องการ 20/7/69
139. ใบสั่งซื้อ: WO26060186   | รหัสกลุ่ม: LCD00    | รายการ: เฟืองขับด้ายเพลาหัวเครื่อง T57-58 ตัวใน   ต้องการ 20/7/69
140. ใบสั่งซื้อ: WO26060158   | รหัสกลุ่ม: LCD00    | รายการ: เฟืองขับด้าย 60 ฟัน T11-12    ต้องการ 20/8/69
141. ใบสั่งซื้อ: WO26060188   | รหัสกลุ่ม: LCD00    | รายการ: เฟืองขับด้ายหัวเครื่อง T57 -58 ตัวนอก   ต้องการ 20/7/69
142. ใบสั่งซื้อ: WO26060223   | รหัสกลุ่ม: LCD00    | รายการ: สลักบู๊ชสวมเพลา  ต้องการ 20/7/69
143. ใบสั่งซื้อ: WO26060222   | รหัสกลุ่ม: LCD00    | รายการ: แกนเฟือง BT24-25     ต้องการ 20/7/69
144. ใบสั่งซื้อ: WO26060224   | รหัสกลุ่ม: LCD00    | รายการ: แกนสปริงยึดสลัก  ต้องการ 20/7/69
145. ใบสั่งซื้อ: WO26060191   | รหัสกลุ่ม: LCD00    | รายการ: แหวนกันเบียดลูกปืน#6206    ต้องการ 20/7/69
146. ใบสั่งซื้อ: WO26060198   | รหัสกลุ่ม: LCD00    | รายการ: เหล็กประกบเพลา T01-T08  ต้องการ 20/7/69
147. ใบสั่งซื้อ: WO26060217   | รหัสกลุ่ม: LCD00    | รายการ: เฟืองขับด้าย 70 ฟัน T1-T8   ต้องการ 15/7/69
148. ใบสั่งซื้อ: WO26060218   | รหัสกลุ่ม: LCD00    | รายการ: เพลาล่างท้ายเครื่อง 5 นิ้ว เพลา 40 มิล ยาว 880 มิล  ต้องการ 20/7/69
149. ใบสั่งซื้อ: WO26060151   | รหัสกลุ่ม: LCD00    | รายการ: ตุ๊กตาเพลาขับด้าย T24 (เหล็กเหนียว)  ต้องการ 20/7/69
150. ใบสั่งซื้อ: WO26060157   | รหัสกลุ่ม: LCD00    | รายการ: ตุ๊กตาลูกปืนเพลาขับด้ายT43 (เหล็กเหนียว)  ต้องการ 30/7/69
151. ใบสั่งซื้อ: WO26060225   | รหัสกลุ่ม: LCD00    | รายการ: แกนสปริงเกลียว  ต้องการ 20/7/69
152. ใบสั่งซื้อ: WO26060291   | รหัสกลุ่ม: LCD00    | รายการ: กลึงรอยสึกลูกกลิ้งทับใย T60   ต้องการวัวันที่  6/7/69
